altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
22.37,3.9061765693185864,0.0,30.0,1.2801331281661987,103.85417175292969,1010.5655714724376,,2025-07-26T06:02:24Z,0.0,-0.2,-0.2,25.0
22.37,0.7171869754951558,0.0,30.0,1.2801138162612915,103.85414123535156,1010.5655714724376,,2025-07-26T06:02:25Z,-0.2,-0.4,-0.4,25.0
22.37,-1.296911715340695,0.0,30.0,1.2801272869110107,103.85415649414062,1010.5655714724376,,2025-07-26T06:02:26Z,-0.2,-0.2,-0.2,25.0
22.37,-2.9753272910372375,0.0,30.0,1.2801214456558228,103.8541488647461,1010.5655714724376,,2025-07-26T06:02:27Z,-0.2,-0.2,0.0,25.0
22.26,-3.311010406176546,-0.11,30.0,1.2801231145858765,103.85415649414062,1010.578922072547,,2025-07-26T06:02:28Z,-0.4,-0.4,-0.2,25.0
22.26,-7.674890902987556,-0.11,30.0,1.2801098823547363,103.85413360595703,1010.578922072547,,2025-07-26T06:02:29Z,-0.6000000000000001,-0.4,0.0,25.0
22.26,-9.353306478684098,-0.11,30.0,1.2801153659820557,103.85413360595703,1010.578922072547,,2025-07-26T06:02:30Z,-0.6000000000000001,-0.6000000000000001,0.0,25.0
22.26,-8.346257133266173,-0.11,30.0,1.2801538705825806,103.85417938232422,1010.578922072547,,2025-07-26T06:02:31Z,-0.4,-0.2,0.0,25.0
22.26,-9.353306478684098,-0.11,30.0,1.2801214456558228,103.8541488647461,1010.578922072547,,2025-07-26T06:02:32Z,-0.4,-0.4,0.0,25.0
22.26,-8.849781805975136,-0.11,30.0,1.280091643333435,103.85411834716797,1010.578922072547,,2025-07-26T06:02:33Z,-0.4,-0.4,0.0,25.0
22.26,-10.024672708962715,-0.11,30.0,1.2800499200820923,103.85406494140625,1010.578922072547,,2025-07-26T06:02:34Z,-0.4,-0.4,0.0,25.0
22.26,-10.696038939241333,-0.11,30.0,1.2800188064575195,103.85403442382812,1010.578922072547,,2025-07-26T06:02:35Z,-0.4,-0.4,0.0,25.0
22.37,-9.521148036253752,0.0,30.0,1.2801048755645752,103.85413360595703,1010.5655714724376,,2025-07-26T06:02:37Z,0.0,0.0,0.0,25.0
22.37,-7.674890902987556,0.0,30.0,1.2801015377044678,103.85414123535156,1010.5655714724376,,2025-07-26T06:02:38Z,0.0,-0.2,0.0,25.0
22.37,-8.010574018126865,0.0,30.0,1.280098557472229,103.85414123535156,1010.5655714724376,,2025-07-26T06:02:39Z,0.0,-0.2,0.0,25.0
22.26,-8.514098690835828,-0.11,30.0,1.2800819873809814,103.85411834716797,1010.578922072547,,2025-07-26T06:02:40Z,0.0,0.0,0.0,25.0
22.37,-11.703088284659257,0.0,30.0,1.280038833618164,103.85406494140625,1010.5655714724376,,2025-07-26T06:02:41Z,0.0,0.0,0.0,25.0
22.37,-11.36740516951995,0.0,30.0,1.280067801475525,103.8541030883789,1010.5655714724376,,2025-07-26T06:02:42Z,0.0,0.0,0.0,25.0
22.37,-11.36740516951995,0.0,30.0,1.2800861597061157,103.85413360595703,1010.5655714724376,,2025-07-26T06:02:43Z,0.0,0.0,0.0,25.0
22.48,-12.038771399798566,0.11,30.0,1.2800782918930054,103.85411834716797,1010.5522208723281,,2025-07-26T06:02:44Z,0.0,0.0,0.0,25.0
22.48,-12.374454514937876,0.11,30.0,1.2800991535186768,103.85413360595703,1010.5522208723281,,2025-07-26T06:02:45Z,0.2,0.0,0.0,25.0
22.37,-12.374454514937876,0.0,30.0,1.2801339626312256,103.85417938232422,1010.5655714724376,,2025-07-26T06:02:46Z,0.0,0.0,0.0,25.0
22.37,-14.220711648204071,0.0,30.0,1.2801659107208252,103.85420227050781,1010.5655714724376,,2025-07-26T06:02:47Z,0.2,0.0,0.0,25.0
22.37,-15.059919436052343,0.0,30.0,1.2802108526229858,103.85425567626953,1010.5655714724376,,2025-07-26T06:02:48Z,0.2,-0.2,0.0,25.0
22.37,-15.059919436052343,0.0,30.0,1.280229091644287,103.85427856445312,1010.5655714724376,,2025-07-26T06:02:49Z,0.0,-0.4,0.0,25.0
22.37,-11.703088284659257,0.0,30.0,1.2802643775939941,103.85432434082031,1010.5655714724376,,2025-07-26T06:02:50Z,0.0,-0.2,0.0,25.0
22.37,-10.696038939241333,0.0,30.0,1.2802793979644775,103.8543472290039,1010.5655714724376,,2025-07-26T06:02:51Z,0.0,-0.4,0.0,25.0
22.37,-10.696038939241333,0.0,30.0,1.2802834510803223,103.85435485839844,1010.5655714724376,,2025-07-26T06:02:52Z,-0.2,-0.6000000000000001,-0.2,25.0
22.37,-10.528197381671678,0.0,30.0,1.280299186706543,103.85437774658203,1010.5655714724376,,2025-07-26T06:02:53Z,0.0,-0.4,0.0,25.0
22.48,-9.521148036253752,0.11,30.0,1.2802996635437012,103.85437774658203,1010.5522208723281,,2025-07-26T06:02:54Z,0.2,-0.4,0.0,25.0
22.48,-9.353306478684098,0.11,30.0,1.280297040939331,103.85437774658203,1010.5522208723281,,2025-07-26T06:02:55Z,0.2,-0.4,-0.4,25.0
22.37,-9.01762336354479,0.0,30.0,1.2802900075912476,103.85436248779297,1010.5655714724376,,2025-07-26T06:02:56Z,0.2,-0.4,-0.4,25.0
